statecode,countyFIPS,alldeath_may21,coviddeath_20_nyt,FI_2019,FI_20_pred,total_pop,perc_male,perc_85more,perc_65more,perc_65more_m,perc_65more_f,perc_inc10less,perc_inc15less,perc_inc25less,perc_SSI,perc_SNAP,perc_black,perc_asian,perc_hispanic,perc_lowedu,ln_medincome,perc_poverty,covidcase_20_nyt,Number of All Beds,Total Number of Occupied Beds,univ_dummy,cases,region,Division,state,CENSUSAREA,pop_density_kh2,Y_perc_alldeath_may21,Y_perc_coviddeath_nyt,perc_covidcase_nyt,perc_allbed,perc_occupiedbed
AK,2020,3072.0,118.0,0.109,0.131,296112.0,0.5104284865186146,0.008868266061490247,0.0995974496136597,0.04668841519425082,0.05290903441940887,0.031711163681423904,0.05509556531861365,0.10959032706244602,0.048139386429349264,0.087,0.05551615604906252,0.09606162533095586,0.09066501864159507,0.060984001159667976,11.32069901629074,0.08995245042416382,22820.0,82.66666666666667,69.61437908496733,0.0,0.0,West,Pacific,AK,1704.683,1.7370502316266425,0.01037445290970984,0.00039849786567244827,0.07706543470038364,0.00027917364600781687,0.00023509475835145933
AK,2050,149.0,9.0,0.225,0.22899999999999998,18040.0,0.5200110864745011,0.00393569844789357,0.07117516629711752,0.034811529933481154,0.03636363636363636,0.08315050460728389,0.13690215006581835,0.25713032031592803,0.08512505484861782,0.394,0.006596452328159645,0.010365853658536586,0.02378048780487805,0.19089889526367188,10.784399780508465,0.2355321507760532,2427.0,18.0,15.274509803921571,0.0,0.0,West,Pacific,AK,40570.004,0.004446635006493961,0.008259423503325942,0.0004988913525498891,0.13453436807095343,0.0009977827050997783,0.0008467023172905527
AK,2090,728.0,19.0,0.111,0.126,99653.0,0.5403349623192478,0.005749952334601066,0.091557705237173,0.04674219541810081,0.04481550981907218,0.031468244187001886,0.060225125297839126,0.10875578561060444,0.02785309341878235,0.069,0.04508644998143558,0.030786830301144975,0.07978686040560745,0.055072274208068844,11.212846872181897,0.06679176743299248,4900.0,90.0,71.50980392156862,0.0,0.0,West,Pacific,AK,7338.209,0.13580016595330005,0.007305349562983553,0.0001906615957372081,0.04917062205854315,0.0009031338745446701,0.0007175880698179545
AK,2110,229.0,3.0,0.10300000000000001,0.124,32330.0,0.5108877203835447,0.012743581812557995,0.1199195793380761,0.057005876894525215,0.06291370244355088,0.03154700103825573,0.05973963740915263,0.1017490615765514,0.03793626707132018,0.08199999999999999,0.01005258274048871,0.07157438911227962,0.06566656356325394,0.03625725746154785,11.355323837466711,0.06034642746674915,1030.0,61.0,54.70588235294117,0.0,0.0,West,Pacific,AK,2701.931,0.11965516513930223,0.0070832044540674296,9.279307145066502e-05,0.03185895453139499,0.0018867924528301887,0.0016921089499827148
AK,2130,120.0,0.0,0.129,0.157,13804.0,0.5114459576934222,0.014343668501883513,0.14126340191248912,0.07229788467110983,0.06896551724137931,0.037920030035667365,0.07565233715036605,0.15543457856204246,0.05500281584381453,0.14800000000000002,0.007461605331787888,0.07693422196464793,0.05078238191828456,0.07228790760040282,11.234612696522396,0.09294407418139668,236.0,29.0,20.84313725490196,0.0,0.0,West,Pacific,AK,4858.414,0.02841256426479917,0.008693132425383946,0.0,0.017096493769921763,0.0021008403361344537,0.0015099346026443033
AK,2150,87.0,2.0,0.115,0.128,13649.0,0.5334456736757271,0.005128580848413803,0.09143526998314896,0.04447212249981684,0.046963147483332114,0.03270066316030185,0.06357191859135605,0.14132174708438144,0.037045506517265035,0.092,0.002637555864898528,0.2303465455344714,0.0893105722030918,0.10208193778991699,11.285635830519562,0.06659828558868781,912.0,22.0,21.549019607843142,0.0,0.0,West,Pacific,AK,6549.579,0.020839507394292064,0.006374093340171441,0.0001465308813832515,0.06681808191076269,0.0016118396952157668,0.0015787984180411123
AK,2170,856.0,16.0,0.12,0.139,103464.0,0.521070130673471,0.007915796798886569,0.10660712904971778,0.05400912394649346,0.052598005103224314,0.055312672042488416,0.08572168787849348,0.16124226820816734,0.061368567634962276,0.103,0.010834686460991262,0.013888888888888888,0.04778473672001856,0.07051301002502441,11.236592085141899,0.0980244336194232,6353.0,67.0,45.20202020202021,0.0,0.0,West,Pacific,AK,24607.898,0.04204503773544575,0.008273409108482177,0.00015464316090620892,0.06140300007732158,0.0006475682362947499,0.00043688645521166984
AK,2220,71.0,0.0,0.114,0.13699999999999998,8738.0,0.5116731517509727,0.01762417029068437,0.14511329823758298,0.06946669718471046,0.0756466010528725,0.04858185902836282,0.08199943836001124,0.15164279696714406,0.01572591968548161,0.083,0.011787594415197986,0.07232776379034105,0.06477454795147633,0.05287992000579834,11.29799806842736,0.07690547035934997,266.0,15.0,14.235294117647056,0.0,0.0,West,Pacific,AK,2870.339,0.030442397222070285,0.008125429159990845,0.0,0.03044174868390936,0.0017166399633783474,0.0016291249848531765
AL,1001,712.0,48.0,0.157,0.17800000000000002,55200.0,0.4868478260869565,0.014764492753623187,0.14583333333333334,0.06318840579710144,0.08264492753623189,0.07085010655931802,0.1286762964717026,0.2301207672270897,0.055174046886099934,0.127,0.19139492753623188,0.010289855072463768,0.027681159420289852,0.11483394622802734,10.9722074833392,0.12179347826086954,4190.0,159.7450980392157,118.11764705882355,0.0,0.0,South,East South Central,AL,594.436,0.9286113223290648,0.012898550724637681,0.0008695652173913044,0.07590579710144928,0.0028939329354930377,0.0021398124467178177
AL,1003,3214.0,161.0,0.134,0.159,208107.0,0.48623064096834795,0.018975815325769918,0.19540428721763325,0.09067450878634548,0.10472977843128776,0.05376357762458345,0.1056320113963013,0.19741293785454453,0.043092264251736165,0.075,0.0949703758162868,0.008072770257607866,0.04494322632107522,0.09193842887878417,10.999947526636095,0.10744472795244754,13601.0,107.7529069767442,70.71511627906976,0.0,0.0,South,East South Central,AL,1589.784,1.309026886671397,0.015443978338066475,0.0007736404830207537,0.06535580254388368,0.0005177764658408617,0.0003398017187267596
AL,1005,390.0,32.0,0.207,0.231,25782.0,0.5312621208595144,0.0163680086882321,0.1797378015669847,0.07772864789387945,0.10200915367310527,0.13335510559547134,0.2228391029827999,0.3879817112998041,0.1038536903984324,0.274,0.4757582809712202,0.003723528042820573,0.04289814599332868,0.26786907196044923,10.490496137034404,0.22919090838569545,1514.0,176.0,140.29411764705878,0.0,0.0,South,East South Central,AL,884.876,0.2913628576207288,0.015126832673958576,0.001241176014273524,0.05872314017531611,0.006826468078504383,0.005441552930224916
AL,1007,262.0,46.0,0.163,0.191,22527.0,0.5394415590180672,0.01895503173969015,0.16251609180094995,0.07249078883118036,0.09002530296976961,0.06388888888888887,0.1456140350877193,0.2747076023391813,0.0706140350877193,0.124,0.22275491632263505,0.001642473476272917,0.02428197274381853,0.20942602157592774,10.777246495691305,0.18204820881608733,1834.0,131.0,102.94117647058823,0.0,0.0,South,East South Central,AL,622.582,0.3618318550809371,0.011630487859013628,0.002041994051582545,0.0814134150130954,0.005815243929506814,0.0045696797829532666
AL,1009,697.0,63.0,0.145,0.162,57645.0,0.4932604735883425,0.015022985514788794,0.1775175644028103,0.0787579148234886,0.0987596495793217,0.08364077669902913,0.14004854368932038,0.2539320388349515,0.08038834951456311,0.095,0.014953595281464132,0.003434816549570648,0.09126550438025847,0.1950943756103516,10.876196424315083,0.16174863387978142,4641.0,111.5,89.1764705882353,0.0,0.0,South,East South Central,AL,644.776,0.8940314155613733,0.012091248156821928,0.001092896174863388,0.08051001821493625,0.001934252753924885,0.001546994025296822
AL,1011,137.0,22.0,0.157,0.17600000000000002,10352.0,0.5470440494590417,0.016904945904173106,0.1561051004636785,0.0661707882534776,0.08993431221020093,0.22748683845940704,0.3349958437240233,0.4253255749515101,0.10335272928789138,0.259,0.7624613601236476,0.005409582689335394,0.004926584234930448,0.2532037734985352,10.370549358860943,0.24507341576506955,859.0,123.0,87.64705882352942,0.0,0.0,South,East South Central,AL,622.805,0.16621574971299202,0.013234157650695518,0.002125193199381762,0.0829791344667697,0.011881761978361669,0.008466678788980816
AL,1013,319.0,45.0,0.165,0.2,20025.0,0.4678152309612984,0.027815230961298374,0.19006242197253434,0.07765293383270913,0.11240948813982522,0.1124031007751938,0.20423375074537864,0.33974358974358976,0.07483601669648181,0.18600000000000005,0.4521847690387016,0.01153558052434457,0.0033458177278402,0.14950430870056153,10.595233752180443,0.2059425717852684,1508.0,105.33333333333331,74.96078431372548,0.0,0.0,South,East South Central,AL,776.829,0.2577787389502709,0.015930087390761547,0.0022471910112359553,0.07530586766541823,0.005260091552226382,0.003743360015666691
AL,1015,2274.0,156.0,0.172,0.201,115098.0,0.48059045335279504,0.017810908964534567,0.16843038106656935,0.07144346556847209,0.09698691549809728,0.0859813914240668,0.15728465791752716,0.284946594719428,0.07319077121222214,0.179,0.2057029661679612,0.009252984413282594,0.03651670750143357,0.15567325592041015,10.773671516710033,0.16497245825296702,9494.0,133.08235294117648,102.2,1.0,219.0,South,East South Central,AL,605.868,1.8997207312483906,0.0197570765782203,0.001355366730959704,0.08248622912648351,0.0011562525234250507,0.0008879389737441138
AL,1017,520.0,63.0,0.154,0.183,33826.0,0.4806066339502158,0.0207532667179093,0.1894696387394312,0.08014545024537338,0.10932418849405784,0.08759988162178159,0.1597366084640426,0.3309411068363421,0.0705090263391536,0.147,0.393750369538225,0.01197303849110152,0.02270442854608881,0.1837824249267578,10.645781976362318,0.18964701708744752,2341.0,80.0,61.96078431372549,0.0,0.0,South,East South Central,AL,596.531,0.5670451326083641,0.015372790161414296,0.0018624726541713475,0.06920711878436706,0.002365044640217584,0.001831750260560678
AL,1019,408.0,22.0,0.161,0.179,25853.0,0.4958805554481105,0.018527830425869342,0.217421575832592,0.10099408192472828,0.1164274939078637,0.08617763530077313,0.1637752215726947,0.3063360362059212,0.09004337167640958,0.159,0.049007852086798434,0.002127412679379569,0.015394731752601244,0.18427465438842774,10.736005294543881,0.159401230031331,1414.0,185.0,143.8,0.0,0.0,South,East South Central,AL,553.7,0.4669134910601408,0.015781534057942987,0.0008509650717518276,0.054693845975322015,0.007155842648822187,0.005562217150814219
