index,month,state,monthly_cases,monthly_death,date
14,2020-03,Alabama,993.0,14.0,2020-03-14
69,2020-04,Alabama,6069.0,258.0,2020-04-01
124,2020-05,Alabama,10884.0,358.0,2020-05-01
179,2020-06,Alabama,20093.0,320.0,2020-06-01
234,2020-07,Alabama,49678.0,630.0,2020-07-01
289,2020-08,Alabama,38335.0,602.0,2020-08-01
344,2020-09,Alabama,28643.0,358.0,2020-09-01
399,2020-10,Alabama,37584.0,427.0,2020-10-01
454,2020-11,Alabama,57239.0,611.0,2020-11-01
509,2020-12,Alabama,111702.0,1249.0,2020-12-01
564,2021-01,Alabama,98413.0,2861.0,2021-01-01
619,2021-02,Alabama,33613.0,2241.0,2021-02-01
674,2021-03,Alabama,22136.0,625.0,2021-03-01
729,2021-04,Alabama,12534.0,342.0,2021-04-01
784,2021-05,Alabama,9891.0,128.0,2021-05-01
15,2020-03,Alaska,132.0,2.0,2020-03-13
70,2020-04,Alaska,220.0,5.0,2020-04-01
125,2020-05,Alaska,116.0,1.0,2020-05-01
180,2020-06,Alaska,663.0,4.0,2020-06-01
235,2020-07,Alaska,2543.0,9.0,2020-07-01
290,2020-08,Alaska,2400.0,13.0,2020-08-01
345,2020-09,Alaska,2632.0,18.0,2020-09-01
400,2020-10,Alaska,7540.0,25.0,2020-10-01
455,2020-11,Alaska,16160.0,38.0,2020-11-01
510,2020-12,Alaska,14333.0,83.0,2020-12-01
565,2021-01,Alaska,7245.0,55.0,2021-01-01
620,2021-02,Alaska,3861.0,26.0,2021-02-01
675,2021-03,Alaska,4713.0,20.0,2021-03-01
730,2021-04,Alaska,5039.0,31.0,2021-04-01
785,2021-05,Alaska,1299.0,6.0,2021-05-01
0,2020-01,Arizona,0.0,0.0,2020-01-27
4,2020-02,Arizona,0.0,0.0,2020-02-01
16,2020-03,Arizona,1297.0,24.0,2020-03-01
71,2020-04,Arizona,6350.0,296.0,2020-04-01
126,2020-05,Arizona,12288.0,586.0,2020-05-01
181,2020-06,Arizona,59463.0,739.0,2020-06-01
236,2020-07,Arizona,94709.0,2050.0,2020-07-01
291,2020-08,Arizona,27758.0,1336.0,2020-08-01
346,2020-09,Arizona,16645.0,623.0,2020-09-01
401,2020-10,Arizona,27451.0,325.0,2020-10-01
456,2020-11,Arizona,81084.0,661.0,2020-11-01
511,2020-12,Arizona,196783.0,2239.0,2020-12-01
566,2021-01,Arizona,234747.0,4241.0,2021-01-01
621,2021-02,Arizona,58656.0,2860.0,2021-02-01
676,2021-03,Arizona,24579.0,987.0,2021-03-01
731,2021-04,Arizona,20686.0,357.0,2021-04-01
786,2021-05,Arizona,9525.0,123.0,2021-05-01
17,2020-03,Arkansas,563.0,8.0,2020-03-12
72,2020-04,Arkansas,2717.0,53.0,2020-04-01
127,2020-05,Arkansas,3972.0,72.0,2020-05-01
182,2020-06,Arkansas,13524.0,137.0,2020-06-01
237,2020-07,Arkansas,21734.0,183.0,2020-07-01
292,2020-08,Arkansas,18713.0,344.0,2020-08-01
347,2020-09,Arkansas,22473.0,572.0,2020-09-01
402,2020-10,Arkansas,28493.0,556.0,2020-10-01
457,2020-11,Arkansas,45169.0,577.0,2020-11-01
512,2020-12,Arkansas,67779.0,1174.0,2020-12-01
567,2021-01,Arkansas,70130.0,1192.0,2021-01-01
622,2021-02,Arkansas,27147.0,375.0,2021-02-01
677,2021-03,Arkansas,7983.0,383.0,2021-03-01
732,2021-04,Arkansas,5327.0,113.0,2021-04-01
787,2021-05,Arkansas,2760.0,51.0,2021-05-01
1,2020-01,California,2.0,0.0,2020-01-26
5,2020-02,California,25.0,0.0,2020-02-01
18,2020-03,California,8555.0,184.0,2020-03-01
73,2020-04,California,41887.0,1873.0,2020-04-01
128,2020-05,California,62644.0,2185.0,2020-05-01
183,2020-06,California,119039.0,1841.0,2020-06-01
238,2020-07,California,270120.0,3139.0,2020-07-01
293,2020-08,California,210268.0,3798.0,2020-08-01
348,2020-09,California,108584.0,2878.0,2020-09-01
403,2020-10,California,114123.0,1763.0,2020-10-01
458,2020-11,California,301944.0,1548.0,2020-11-01
513,2020-12,California,1070577.0,6756.0,2020-12-01
568,2021-01,California,1016198.0,14963.0,2021-01-01
623,2021-02,California,245492.0,11285.0,2021-02-01
678,2021-03,California,99461.0,7046.0,2021-03-01
733,2021-04,California,73031.0,2496.0,2021-04-01
788,2021-05,California,24728.0,870.0,2021-05-01
19,2020-03,Colorado,2988.0,69.0,2020-03-06
74,2020-04,Colorado,12217.0,706.0,2020-04-01
129,2020-05,Colorado,11157.0,670.0,2020-05-01
184,2020-06,Colorado,6334.0,245.0,2020-06-01
239,2020-07,Colorado,14250.0,151.0,2020-07-01
294,2020-08,Colorado,10849.0,111.0,2020-08-01
349,2020-09,Colorado,13293.0,109.0,2020-09-01
404,2020-10,Colorado,36754.0,248.0,2020-10-01
459,2020-11,Colorado,126658.0,751.0,2020-11-01
514,2020-12,Colorado,101077.0,1819.0,2020-12-01
569,2021-01,Colorado,61559.0,832.0,2021-01-01
624,2021-02,Colorado,33832.0,334.0,2021-02-01
679,2021-03,Colorado,33812.0,130.0,2021-03-01
734,2021-04,Colorado,48970.0,257.0,2021-04-01
789,2021-05,Colorado,19170.0,135.0,2021-05-01
20,2020-03,Connecticut,3127.0,69.0,2020-03-09
75,2020-04,Connecticut,24572.0,2188.0,2020-04-01
130,2020-05,Connecticut,14501.0,1687.0,2020-05-01
185,2020-06,Connecticut,4313.0,378.0,2020-06-01
240,2020-07,Connecticut,3296.0,110.0,2020-07-01
295,2020-08,Connecticut,3069.0,33.0,2020-08-01
350,2020-09,Connecticut,4671.0,43.0,2020-09-01
405,2020-10,Connecticut,13657.0,108.0,2020-10-01
460,2020-11,Connecticut,46088.0,404.0,2020-11-01
515,2020-12,Connecticut,68413.0,975.0,2020-12-01
570,2021-01,Connecticut,64315.0,1051.0,2021-01-01
625,2021-02,Connecticut,29923.0,576.0,2021-02-01
680,2021-03,Connecticut,30942.0,264.0,2021-03-01
735,2021-04,Connecticut,28345.0,211.0,2021-04-01
790,2021-05,Connecticut,5744.0,76.0,2021-05-01
21,2020-03,Delaware,318.0,10.0,2020-03-12
76,2020-04,Delaware,4415.0,142.0,2020-04-01
131,2020-05,Delaware,4764.0,214.0,2020-05-01
186,2020-06,Delaware,1976.0,143.0,2020-06-01
241,2020-07,Delaware,3314.0,76.0,2020-07-01
296,2020-08,Delaware,2641.0,20.0,2020-08-01
351,2020-09,Delaware,3184.0,31.0,2020-09-01
406,2020-10,Delaware,4338.0,72.0,2020-10-01
461,2020-11,Delaware,10703.0,64.0,2020-11-01
516,2020-12,Delaware,21802.0,154.0,2020-12-01
571,2021-01,Delaware,20615.0,164.0,2021-01-01
626,2021-02,Delaware,8728.0,332.0,2021-02-01
681,2021-03,Delaware,8003.0,137.0,2021-03-01
736,2021-04,Delaware,9603.0,66.0,2021-04-01
791,2021-05,Delaware,2310.0,26.0,2021-05-01
22,2020-03,District of Columbia,494.0,9.0,2020-03-08
77,2020-04,District of Columbia,3828.0,215.0,2020-04-01
132,2020-05,District of Columbia,4478.0,242.0,2020-05-01
187,2020-06,District of Columbia,1526.0,85.0,2020-06-01
242,2020-07,District of Columbia,1799.0,34.0,2020-07-01
297,2020-08,District of Columbia,1866.0,22.0,2020-08-01
352,2020-09,District of Columbia,1334.0,20.0,2020-09-01
407,2020-10,District of Columbia,1940.0,19.0,2020-10-01
462,2020-11,District of Columbia,4286.0,34.0,2020-11-01
517,2020-12,District of Columbia,7431.0,106.0,2020-12-01
572,2021-01,District of Columbia,7889.0,127.0,2021-01-01
627,2021-02,District of Columbia,3726.0,104.0,2021-02-01
