countyFIPS,countyname,state,covidcase_20_nyt,coviddeath_20_nyt
6037,Los Angeles,California,770915,10345.0
4013,Maricopa,Arizona,322449,5125.0
48439,Tarrant,Texas,150004,1494.0
6073,San Diego,California,155658,1534.0
12086,Miami-Dade,Florida,298872,4188.0
17031,Cook,Illinois,393652,8285.0
6085,Santa Clara,California,69879,710.0
36103,Suffolk,New York,96057,2299.0
48113,Dallas,Texas,193318,2007.0
32003,Clark,Nevada,170032,2379.0
36059,Nassau,New York,87904,2390.0
12011,Broward,Florida,137610,1847.0
49035,Salt Lake,Utah,107386,554.0
25017,Middlesex,Massachusetts,75615,2729.0
6059,Orange,California,166196,1875.0
42101,Philadelphia,Pennsylvania,93885,2473.0
47037,Davidson,Tennessee,68812,570.0
6071,San Bernardino,California,194377,1445.0
12095,Orange,Florida,76457,748.0
49049,Utah,Utah,67250,215.0
4019,Pima,Arizona,69522,1064.0
25009,Essex,Massachusetts,58429,1698.0
48201,Harris,Texas,237727,3402.0
13135,Gwinnett,Georgia,57528,601.0
12031,Duval,Florida,61321,725.0
12099,Palm Beach,Florida,82888,1895.0
6013,Contra Costa,California,40697,335.0
36119,Westchester,New York,69660,1664.0
25027,Worcester,Massachusetts,42595,1523.0
39049,Franklin,Ohio,84050,698.0
12057,Hillsborough,Florida,77118,1071.0
6111,Ventura,California,39559,263.0
39035,Cuyahoga,Ohio,70137,897.0
6077,San Joaquin,California,45583,651.0
53033,King,Washington,62582,1052.0
25025,Suffolk,Massachusetts,54556,1374.0
37119,Mecklenburg,North Carolina,63088,566.0
13121,Fulton,Georgia,56903,790.0
18097,Marion,Indiana,70801,1206.0
42003,Allegheny,Pennsylvania,53809,1009.0
13067,Cobb,Georgia,44345,575.0
47157,Shelby,Tennessee,67198,903.0
25005,Bristol,Massachusetts,34655,1071.0
12103,Pinellas,Florida,44975,1049.0
48215,Hidalgo,Texas,51662,2201.0
39061,Hamilton,Ohio,51821,417.0
36055,Monroe,New York,33755,563.0
34017,Hudson,New Jersey,44104,1699.0
47093,Knox,Tennessee,33663,324.0
36029,Erie,New York,41252,1194.0
48085,Collin,Texas,48423,370.0
1073,Jefferson,Alabama,52339,697.0
29189,St. Louis,Missouri,69480,1391.0
6029,Kern,California,68969,512.0
6001,Alameda,California,51611,657.0
9001,Fairfield,Connecticut,56288,1720.0
12105,Polk,Florida,37403,790.0
48121,Denton,Texas,39182,348.0
21111,Jefferson,Kentucky,52277,658.0
47065,Hamilton,Tennessee,29530,273.0
40109,Oklahoma,Oklahoma,57993,441.0
31055,Douglas,Nebraska,53284,515.0
55079,Milwaukee,Wisconsin,91624,1002.0
6053,Monterey,California,27859,193.0
49011,Davis,Utah,25023,86.0
29077,Greene,Missouri,21496,297.0
40143,Tulsa,Oklahoma,48124,399.0
13089,DeKalb,Georgia,38320,531.0
51059,Fairfax,Virginia,43977,679.0
25021,Norfolk,Massachusetts,27296,1302.0
42091,Montgomery,Pennsylvania,36131,1147.0
34003,Bergen,New Jersey,47362,2318.0
17043,DuPage,Illinois,61805,1030.0
10003,New Castle,Delaware,33211,462.0
48141,El Paso,Texas,98540,1666.0
25013,Hampden,Massachusetts,26282,1046.0
17197,Will,Illinois,52293,780.0
45045,Greenville,South Carolina,37327,502.0
25023,Plymouth,Massachusetts,24296,1005.0
36067,Onondaga,New York,21146,426.0
9009,New Haven,Connecticut,47375,1529.0
16001,Ada,Idaho,38417,355.0
9003,Hartford,Connecticut,46680,1852.0
12071,Lee,Florida,40634,672.0
34023,Middlesex,New Jersey,45012,1677.0
4015,Mohave,Arizona,12573,344.0
6067,Sacramento,California,65540,857.0
4021,Pinal,Arizona,27649,367.0
34025,Monmouth,New Jersey,31937,1040.0
48355,Nueces,Texas,29542,547.0
42017,Bucks,Pennsylvania,30537,904.0
8005,Arapahoe,Colorado,38457,590.0
35001,Bernalillo,New Mexico,40808,569.0
24033,Prince George's,Maryland,54614,1085.0
29183,St. Charles,Missouri,29669,330.0
49057,Weber,Utah,19517,96.0
8001,Adams,Colorado,40344,529.0
34013,Essex,New Jersey,47442,2391.0
39153,Summit,Ohio,28040,589.0
34029,Ocean,New Jersey,32509,1356.0
24031,Montgomery,Maryland,46243,1124.0
