statecode,countyname,countyFIPS,coviddeath_may21,alldeath_may21
AK,Aleutians East Borough,2013,,12.0
AK,Anchorage Municipality,2020,200.0,3072.0
AK,Bethel Census Area,2050,17.0,149.0
AK,Dillingham Census Area,2070,,35.0
AK,Fairbanks North Star Borough,2090,44.0,728.0
AK,Hoonah-Angoon Census Area,2105,,15.0
AK,Juneau City and Borough,2110,,229.0
AK,Kenai Peninsula Borough,2122,14.0,494.0
AK,Ketchikan Gateway Borough,2130,,120.0
AK,Kodiak Island Borough,2150,,87.0
AK,Matanuska-Susitna Borough,2170,44.0,856.0
AK,North Slope Borough,2185,,50.0
AK,Sitka City and Borough,2220,,71.0
AK,Valdez-Cordova Census Area,2261,,50.0
AK,Wade Hampton Census Area,2270,,53.0
AL,Autauga County,1001,93.0,712.0
AL,Baldwin County,1003,250.0,3214.0
AL,Barbour County,1005,38.0,390.0
AL,Bibb County,1007,30.0,262.0
AL,Blount County,1009,50.0,697.0
AL,Bullock County,1011,,137.0
AL,Butler County,1013,32.0,319.0
AL,Calhoun County,1015,293.0,2274.0
AL,Chambers County,1017,39.0,520.0
AL,Cherokee County,1019,16.0,408.0
AL,Chilton County,1021,32.0,543.0
AL,Choctaw County,1023,16.0,168.0
AL,Clarke County,1025,17.0,409.0
AL,Clay County,1027,34.0,267.0
AL,Cleburne County,1029,15.0,197.0
AL,Coffee County,1031,80.0,770.0
AL,Colbert County,1033,172.0,1018.0
AL,Conecuh County,1035,10.0,185.0
AL,Coosa County,1037,,118.0
AL,Covington County,1039,105.0,799.0
AL,Crenshaw County,1041,31.0,268.0
AL,Cullman County,1043,211.0,1634.0
AL,Dale County,1045,74.0,646.0
AL,Dallas County,1047,114.0,739.0
AL,DeKalb County,1049,109.0,1076.0
AL,Elmore County,1051,58.0,978.0
AL,Escambia County,1053,54.0,577.0
AL,Etowah County,1055,382.0,2441.0
AL,Fayette County,1057,25.0,225.0
AL,Franklin County,1059,30.0,447.0
AL,Geneva County,1061,34.0,468.0
AL,Greene County,1063,,104.0
AL,Hale County,1065,20.0,224.0
AL,Henry County,1067,,206.0
AL,Houston County,1069,560.0,2990.0
AL,Jackson County,1071,67.0,926.0
AL,Jefferson County,1073,2172.0,15657.0
AL,Lamar County,1075,11.0,161.0
AL,Lauderdale County,1077,266.0,2159.0
AL,Lawrence County,1079,26.0,465.0
AL,Lee County,1081,305.0,1886.0
AL,Limestone County,1083,117.0,1200.0
AL,Lowndes County,1085,,117.0
AL,Macon County,1087,10.0,234.0
AL,Madison County,1089,671.0,6333.0
AL,Marengo County,1091,53.0,387.0
AL,Marion County,1093,74.0,590.0
AL,Marshall County,1095,200.0,1816.0
AL,Mobile County,1097,950.0,8051.0
AL,Monroe County,1099,22.0,339.0
AL,Montgomery County,1101,879.0,4934.0
AL,Morgan County,1103,242.0,2066.0
AL,Perry County,1105,,117.0
AL,Pickens County,1107,14.0,229.0
AL,Pike County,1109,66.0,450.0
AL,Randolph County,1111,14.0,325.0
AL,Russell County,1113,49.0,588.0
AL,St. Clair County,1115,107.0,1176.0
AL,Shelby County,1117,177.0,2054.0
AL,Sumter County,1119,,155.0
AL,Talladega County,1121,117.0,1299.0
AL,Tallapoosa County,1123,108.0,824.0
AL,Tuscaloosa County,1125,604.0,3603.0
AL,Walker County,1127,197.0,1506.0
AL,Washington County,1129,11.0,192.0
AL,Wilcox County,1131,,129.0
AL,Winston County,1133,34.0,406.0
AR,Arkansas County,5001,11.0,304.0
AR,Ashley County,5003,11.0,268.0
AR,Baxter County,5005,146.0,1320.0
AR,Benton County,5007,454.0,2948.0
AR,Boone County,5009,76.0,645.0
AR,Bradley County,5011,18.0,146.0
AR,Carroll County,5015,17.0,313.0
AR,Chicot County,5017,21.0,157.0
AR,Clark County,5019,25.0,318.0
AR,Clay County,5021,30.0,258.0
AR,Cleburne County,5023,32.0,409.0
AR,Cleveland County,5025,,90.0
AR,Columbia County,5027,52.0,383.0
AR,Conway County,5029,10.0,269.0
AR,Craighead County,5031,545.0,3288.0
AR,Crawford County,5033,35.0,664.0
AR,Crittenden County,5035,38.0,532.0
AR,Cross County,5037,17.0,247.0
AR,Dallas County,5039,14.0,137.0
AR,Desha County,5041,,155.0
AR,Drew County,5043,19.0,304.0
AR,Faulkner County,5045,223.0,1672.0
AR,Franklin County,5047,21.0,253.0
AR,Fulton County,5049,33.0,252.0
AR,Garland County,5051,365.0,2757.0
AR,Grant County,5053,11.0,189.0
AR,Greene County,5055,51.0,572.0
AR,Hempstead County,5057,18.0,252.0
AR,Hot Spring County,5059,17.0,423.0
AR,Howard County,5061,17.0,194.0
AR,Independence County,5063,172.0,859.0
AR,Izard County,5065,21.0,237.0
AR,Jackson County,5067,13.0,244.0
AR,Jefferson County,5069,181.0,1340.0
AR,Johnson County,5071,22.0,305.0
AR,Lafayette County,5073,,85.0
AR,Lawrence County,5075,20.0,210.0
AR,Lee County,5077,,128.0
AR,Lincoln County,5079,14.0,131.0
AR,Little River County,5081,31.0,203.0
AR,Logan County,5083,20.0,328.0
AR,Lonoke County,5085,38.0,649.0
AR,Madison County,5087,,140.0
AR,Marion County,5089,20.0,266.0
AR,Miller County,5091,21.0,456.0
AR,Mississippi County,5093,40.0,538.0
AR,Montgomery County,5097,13.0,139.0
AR,Nevada County,5099,12.0,104.0
AR,Newton County,5101,13.0,119.0
AR,Ouachita County,5103,48.0,420.0
AR,Perry County,5105,,98.0
AR,Phillips County,5107,22.0,267.0
AR,Pike County,5109,,120.0
AR,Poinsett County,5111,14.0,228.0
AR,Polk County,5113,65.0,341.0
AR,Pope County,5115,74.0,978.0
AR,Prairie County,5117,,118.0
AR,Pulaski County,5119,1214.0,9898.0
AR,Randolph County,5121,24.0,225.0
AR,St. Francis County,5123,,246.0
AR,Saline County,5125,134.0,1430.0
AR,Scott County,5127,12.0,161.0
AR,Searcy County,5129,11.0,130.0
AR,Sebastian County,5131,509.0,3500.0
AR,Sevier County,5133,,149.0
AR,Sharp County,5135,16.0,279.0
AR,Stone County,5137,16.0,223.0
AR,Union County,5139,106.0,823.0
AR,Van Buren County,5141,,238.0
AR,Washington County,5143,457.0,3524.0
AR,White County,5145,168.0,1478.0
AR,Woodruff County,5147,,93.0
AR,Yell County,5149,28.0,257.0
AZ,Apache County,4001,110.0,813.0
AZ,Cochise County,4003,128.0,1623.0
AZ,Coconino County,4005,262.0,1743.0
AZ,Gila County,4007,109.0,1033.0
AZ,Graham County,4009,56.0,448.0
AZ,La Paz County,4012,21.0,371.0
AZ,Maricopa County,4013,10089.0,63146.0
AZ,Mohave County,4015,609.0,5242.0
AZ,Navajo County,4017,180.0,1574.0
AZ,Pima County,4019,2681.0,18606.0
AZ,Pinal County,4021,359.0,3992.0
AZ,Santa Cruz County,4023,23.0,340.0
AZ,Yavapai County,4025,420.0,4756.0
AZ,Yuma County,4027,719.0,3205.0
CA,Alameda County,6001,1397.0,15908.0
CA,Amador County,6005,54.0,580.0
CA,Butte County,6007,259.0,3314.0
CA,Calaveras County,6009,19.0,536.0
CA,Colusa County,6011,17.0,168.0
CA,Contra Costa County,6013,762.0,11712.0
CA,Del Norte County,6015,,407.0
CA,El Dorado County,6017,116.0,2039.0
CA,Fresno County,6019,1756.0,12719.0
CA,Glenn County,6021,33.0,286.0
CA,Humboldt County,6023,36.0,1799.0
CA,Imperial County,6025,582.0,2029.0
CA,Inyo County,6027,28.0,268.0
CA,Kern County,6029,1364.0,10211.0
CA,Kings County,6031,318.0,1523.0
CA,Lake County,6033,53.0,896.0
CA,Lassen County,6035,17.0,262.0
CA,Los Angeles County,6037,22594.0,117199.0
CA,Madera County,6039,213.0,1448.0
CA,Marin County,6041,203.0,2932.0
CA,Mariposa County,6043,,174.0
CA,Mendocino County,6045,43.0,1237.0
CA,Merced County,6047,301.0,2331.0
CA,Modoc County,6049,,127.0
CA,Mono County,6051,,53.0
CA,Monterey County,6053,564.0,4227.0
CA,Napa County,6055,88.0,1798.0
CA,Nevada County,6057,88.0,1450.0
CA,Orange County,6059,5800.0,35294.0
CA,Placer County,6061,454.0,5855.0
CA,Plumas County,6063,,232.0
CA,Riverside County,6065,5131.0,29586.0
CA,Sacramento County,6067,1650.0,18980.0
CA,San Benito County,6069,52.0,448.0
CA,San Bernardino County,6071,5558.0,27671.0
CA,San Diego County,6073,4349.0,36381.0
CA,San Francisco County,6075,489.0,9253.0
CA,San Joaquin County,6077,1394.0,9248.0
CA,San Luis Obispo County,6079,238.0,3302.0
CA,San Mateo County,6081,591.0,6939.0
CA,Santa Barbara County,6083,523.0,5014.0
CA,Santa Clara County,6085,1806.0,16972.0
CA,Santa Cruz County,6087,265.0,2591.0
CA,Shasta County,6089,244.0,3660.0
CA,Siskiyou County,6093,17.0,747.0
CA,Solano County,6095,408.0,5156.0
CA,Sonoma County,6097,385.0,6157.0
CA,Stanislaus County,6099,1401.0,8499.0
CA,Sutter County,6101,51.0,839.0
CA,Tehama County,6103,62.0,831.0
CA,Trinity County,6105,,142.0
CA,Tulare County,6107,845.0,5112.0
CA,Tuolumne County,6109,69.0,983.0
CA,Ventura County,6111,1082.0,9191.0
CA,Yolo County,6113,170.0,1767.0
CA,Yuba County,6115,123.0,1184.0
CO,Adams County,8001,784.0,5841.0
CO,Alamosa County,8003,33.0,225.0
CO,Arapahoe County,8005,813.0,6775.0
CO,Baca County,8009,,90.0
CO,Bent County,8011,13.0,77.0
CO,Boulder County,8013,343.0,3527.0
CO,Broomfield County,8014,51.0,468.0
CO,Chaffee County,8015,20.0,242.0
CO,Cheyenne County,8017,,29.0
CO,Clear Creek County,8019,,72.0
CO,Conejos County,8021,,101.0
CO,Crowley County,8025,,58.0
CO,Custer County,8027,,56.0
CO,Delta County,8029,51.0,476.0
CO,Denver County,8031,744.0,7668.0
CO,Douglas County,8035,270.0,2568.0
CO,Eagle County,8037,,169.0
CO,Elbert County,8039,10.0,139.0
CO,El Paso County,8041,898.0,8241.0
CO,Fremont County,8043,34.0,695.0
CO,Garfield County,8045,39.0,515.0
CO,Gilpin County,8047,,49.0
CO,Grand County,8049,,88.0
CO,Gunnison County,8051,,119.0
CO,Huerfano County,8055,14.0,165.0
CO,Jefferson County,8059,800.0,7485.0
CO,Kit Carson County,8063,,94.0
CO,Lake County,8065,,45.0
CO,La Plata County,8067,60.0,624.0
CO,Larimer County,8069,298.0,4029.0
CO,Las Animas County,8071,,196.0
CO,Lincoln County,8073,,84.0
CO,Logan County,8075,57.0,323.0
CO,Mesa County,8077,264.0,2827.0
CO,Mineral County,8079,,10.0
CO,Moffat County,8081,21.0,170.0
CO,Montezuma County,8083,,360.0
CO,Montrose County,8085,64.0,636.0
CO,Morgan County,8087,69.0,376.0
CO,Otero County,8089,29.0,283.0
CO,Park County,8093,,106.0
CO,Phillips County,8095,,89.0
CO,Pitkin County,8097,,73.0
CO,Prowers County,8099,17.0,166.0
CO,Pueblo County,8101,382.0,3240.0
CO,Rio Blanco County,8103,,78.0
CO,Rio Grande County,8105,,178.0
CO,Routt County,8107,16.0,163.0
CO,Saguache County,8109,,54.0
CO,Sedgwick County,8115,,44.0
CO,Summit County,8117,,101.0
CO,Teller County,8119,,194.0
CO,Washington County,8121,,58.0
CO,Weld County,8123,294.0,2574.0
CO,Yuma County,8125,14.0,129.0
CT,Fairfield County,9001,2219.0,11135.0
CT,Hartford County,9003,2476.0,13827.0
CT,Litchfield County,9005,223.0,2163.0
CT,Middlesex County,9007,355.0,2152.0
CT,New Haven County,9009,2131.0,13417.0
CT,New London County,9011,423.0,3496.0
CT,Tolland County,9013,99.0,1076.0
CT,Windham County,9015,149.0,1366.0
DC,District of Columbia,11001,1427.0,9946.0
DE,Kent County,10001,281.0,2707.0
DE,New Castle County,10003,759.0,7842.0
DE,Sussex County,10005,438.0,3865.0
FL,Alachua County,12001,637.0,5530.0
FL,Baker County,12003,12.0,243.0
FL,Bay County,12005,398.0,3134.0
FL,Bradford County,12007,,256.0
FL,Brevard County,12009,838.0,11331.0
FL,Broward County,12011,2913.0,24486.0
