death14_sum,death15_sum,death16_sum,death17_sum,death18_sum,countyFIPS,statecode,countyname,coviddeath_may21,alldeath_may21,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,death14_pop,death15_pop,death16_pop,death17_pop,death18_pop,death20_pop,avgdeath_pop,excessmortal_final
694,723,743,739,737,1001,AL,Autauga County,93.0,712.0,54922,54903,55302,55448,55533,55769,56145,0.012636102108444703,0.013168679307141686,0.01343531879498029,0.013327802625883711,0.013271388183602543,0.012681449817436994,0.013167858204010587,-0.03693906625038276
2790,2831,2789,3130,3239,1003,AL,Baldwin County,250.0,3214.0,199306,203101,207787,212737,218071,223565,229287,0.013998575055442384,0.013938877701242238,0.013422398898872402,0.014713002439632033,0.014852960732972289,0.014017366880808768,0.01418516296563227,-0.011828985344055428
426,404,370,438,439,1005,AL,Barbour County,38.0,390.0,26768,26300,25828,25169,24887,24657,24589,0.015914524805738194,0.015361216730038024,0.014325538175623355,0.01740236004608844,0.01763973158677221,0.015860750742201796,0.016128674268852044,-0.01661162735288577
339,340,339,383,382,1007,AL,Bibb County,30.0,262.0,22541,22553,22590,22532,22300,22313,22136,0.01503926178962779,0.015075599698488006,0.0150066401062417,0.016998047221729096,0.01713004484304933,0.011835923382724973,0.015849918731827183,-0.25325021642173906
875,875,963,994,951,1009,AL,Blount County,50.0,697.0,57536,57535,57487,57801,57770,57840,57879,0.015207869855394884,0.015208134179195273,0.016751613408248822,0.017196934309094997,0.016461831400380822,0.012042364242644137,0.01616527663046296,-0.25504743791698076
1992,2058,1980,2189,2131,1015,AL,Calhoun County,293.0,2274.0,115991,115550,115036,114746,114298,114070,113469,0.017173746238932332,0.017810471657291216,0.017212003198998575,0.019076917713907238,0.018644245743582564,0.020040715966475425,0.017983476910542383,0.11439606846699565
600,604,647,614,580,1017,AL,Chambers County,39.0,520.0,33964,33991,33742,33716,33570,33244,32865,0.017665763749852785,0.017769409549586654,0.01917491553553435,0.01821093842685965,0.017277330950253203,0.015822303362239463,0.01801967164241733,-0.12194274811342175
478,483,506,484,493,1019,AL,Cherokee County,16.0,408.0,25900,25739,25769,25822,26035,26254,26294,0.018455598455598455,0.018765297797117216,0.019635996740269317,0.01874370691658276,0.018936047628192818,0.015516847950102684,0.018907329507552112,-0.17932101707410214
657,706,649,734,701,1021,AL,Chilton County,32.0,543.0,43751,43693,43854,44085,44084,44313,44397,0.015016799616008778,0.016158194676492803,0.014799106124868884,0.016649654077350574,0.015901460847473008,0.012230556118656666,0.015705043068438812,-0.2212338377323236
406,400,425,392,448,1025,AL,Clarke County,17.0,409.0,24873,24711,24342,24083,23965,23651,23291,0.016322920435813935,0.016187123143539314,0.01745953496015118,0.016277041896773658,0.018693928645942,0.017560431067794428,0.016988109816444018,0.033689519171604294
716,692,683,744,784,1031,AL,Coffee County,80.0,770.0,50693,51004,51281,51943,52097,52639,53230,0.014124238060481723,0.013567563328366403,0.013318773034847214,0.014323392949964384,0.015048851181449987,0.014465526958482059,0.014076563711021941,0.02763197435433475
1037,1022,1023,1026,1075,1033,AL,Colbert County,172.0,1018.0,54484,54439,54483,54682,54970,55241,55411,0.019033110637985462,0.018773305902018773,0.01877649909145972,0.018763029881862403,0.019556121520829542,0.018371803432531447,0.018980413406831178,-0.03206515902760516
777,738,727,762,780,1039,AL,Covington County,105.0,799.0,37766,37566,37400,37077,36993,37082,36930,0.020574061325001326,0.01964542405366555,0.019438502673796793,0.0205518245812768,0.021085070148406455,0.02163552667208232,0.020258976556429383,0.06794766319111388
1329,1368,1449,1498,1504,1043,AL,Cullman County,211.0,1634.0,81081,81771,82434,82830,83300,83644,84515,0.01639101639101639,0.016729647430017976,0.017577698522454326,0.018085234818302546,0.018055222088835535,0.019333846062829084,0.017367763850125353,0.11320295633162586
683,694,736,751,750,1045,AL,Dale County,74.0,646.0,49465,49428,49476,49467,49268,49294,48959,0.013807742848478723,0.014040624747106902,0.014875899425984315,0.015181838397315382,0.015222862710075506,0.013194713944320759,0.014625793625792163,-0.09784629252170877
724,780,778,773,749,1047,AL,Dallas County,114.0,739.0,41560,40947,40105,39263,38270,37182,36098,0.017420596727622716,0.019049014579822696,0.01939907742176786,0.019687746733565954,0.01957146590018291,0.020472048312925924,0.019025580272592428,0.07602753869311553
1100,1139,1097,1140,1162,1049,AL,DeKalb County,109.0,1076.0,70963,71065,71116,71441,71430,71506,71658,0.015501035751025183,0.01602758038415535,0.015425501996737725,0.015957223443120897,0.01626767464650707,0.01501576934885149,0.015835803244309242,-0.051783536509424626
1082,1077,1115,1127,1097,1051,AL,Elmore County,58.0,978.0,80563,80903,81258,81452,81189,81575,82158,0.013430482976056006,0.01331223811230733,0.013721725860838318,0.013836369886558954,0.013511682617103301,0.011903892499817425,0.01356249989057278,-0.12229363348480052
664,683,688,679,651,1053,AL,Escambia County,54.0,577.0,37749,37676,37500,37010,36515,36569,36281,0.01758986993032928,0.018128251406731074,0.018346666666666667,0.01834639286679276,0.017828289743940847,0.015903641024227557,0.01804789412289213,-0.1188090468651841
1922,1980,1912,1980,1986,1055,AL,Etowah County,382.0,2441.0,103417,103033,102931,103076,102766,102460,102371,0.018584952183876926,0.019217144021818254,0.018575550611574745,0.019209127245915635,0.019325457836249345,0.023844643502554434,0.01898244637988698,0.25614175461700445
546,543,508,499,511,1059,AL,Franklin County,30.0,447.0,31572,31532,31674,31670,31495,31587,31507,0.017293804637020144,0.017220601293923634,0.01603839110942729,0.015756236185664668,0.016224797586918558,0.014187323451931317,0.016506766162590857,-0.14051466458136863
468,491,525,521,544,1061,AL,Geneva County,34.0,468.0,26605,26645,26497,26404,26296,26309,26411,0.01759067844390152,0.018427472321261025,0.019813563799675436,0.01973185880927132,0.020687557042896258,0.01771988944000606,0.01925022608340111,-0.0794970737883757
281,313,307,318,310,1067,AL,Henry County,,206.0,17074,17097,17062,17105,17100,17125,17223,0.016457772051071805,0.018307305375212024,0.017993201265971166,0.0185910552470038,0.018128654970760234,0.011960750159670209,0.017895597782003805,-0.33163729396632985
1458,1495,1576,1623,1582,1069,AL,Houston County,560.0,2990.0,104216,104326,104355,104472,104943,106240,106580,0.013990174253473556,0.014330080708548205,0.015102295050548609,0.015535263036985986,0.01507485015675176,0.028054043910677427,0.014806532641261621,0.8947071938030067
