countyname,statecode,Number of All Beds,Total Number of Occupied Beds,countyFIPS
Abbeville,SC,94.0,70.03921568627452,45001
Acadia,LA,113.8,90.04313725490196,22001
Accomack,VA,136.0,108.19607843137256,51001
Ada,ID,88.62028608582575,54.63813229571984,16001
Adair,IA,53.666666666666664,40.588235294117645,19001
Adair,KY,104.0,62.411764705882355,21001
Adair,MO,129.0,64.75490196078431,29001
Adair,OK,120.0,41.6078431372549,40001
Adams,WI,75.0,47.78431372549019,55001
Adams,WA,39.0,23.254901960784313,53001
Adams,PA,120.83333333333333,82.55228758169935,42001
Adams,OH,74.33333333333333,59.89542483660131,39001
Adams,NE,125.5,52.3235294117647,31001
Adams,IL,106.5,72.48366013071896,17001
Adams,MS,84.66666666666667,55.37908496732026,28001
Adams,IN,96.61274509803921,64.7156862745098,18001
Adams,IA,40.0,31.470588235294116,19003
Adams,CO,112.71366120218579,80.5672131147541,8001
Adams,ND,45.0,35.84313725490196,38001
Addison,VT,98.0,76.45098039215686,50001
Aiken,SC,138.5261437908497,110.52614379084967,45003
Aitkin,MN,59.5,44.53921568627451,27001
Alachua,FL,124.1985559566787,101.8158844765343,12001
Alamance,NC,102.67156862745098,72.71323529411765,37001
Alameda,CA,79.30690038953811,59.56071130869686,6001
Alamosa,CO,61.5,36.68627450980392,8003
Albany,NY,167.252688172043,134.6899641577061,36001
Albany,WY,72.33333333333333,53.648148148148145,56001
Alcona,MI,39.0,25.872549019607842,26001
Alcorn,MS,87.25490196078431,61.189542483660134,28003
Alexander,NC,183.0,77.80392156862744,37003
Alexander,IL,83.0,41.21052631578947,17003
Alexandria,VA,138.0,111.61274509803921,51510
Alger,MI,90.0,66.31372549019608,26003
Allamakee,IA,57.25,38.55882352941177,19005
Allegan,MI,97.2,73.22185430463576,26005
Allegany,MD,113.25,80.02941176470588,24001
Allegany,NY,90.74242424242425,75.77272727272727,36003
Alleghany,NC,90.0,71.01960784313725,37005
Alleghany,VA,84.66666666666667,70.0326797385621,51005
Allegheny,PA,127.29996750081249,91.91192720181995,42003
Allen,OH,68.88679245283019,47.995670995671,39003
Allen,LA,97.0,70.84967320261438,22003
Allen,KY,110.0,92.72549019607843,21003
Allen,KS,45.0,30.941176470588236,20001
Allen,IN,108.98822663723325,74.71562275017999,18003
Allendale,SC,44.0,23.686274509803923,45005
Alpena,MI,85.5,65.86274509803921,26007
Amador,CA,197.2549019607843,59.333333333333336,6005
Amelia,VA,100.0,79.01960784313725,51007
Amherst,VA,120.0,95.92156862745098,51009
Amite,MS,80.0,58.294117647058826,28005
Anchorage,AK,82.66666666666667,69.61437908496733,2020
Anderson,TX,117.9728813559322,60.7864406779661,48001
Anderson,TN,116.66666666666667,83.140522875817,47001
Anderson,KY,94.0,76.08510638297872,21005
Anderson,KS,37.5,27.57843137254902,20003
Anderson,SC,147.16666666666666,109.95424836601308,45007
Andrew,MO,104.0,56.88235294117647,29003
Andrews,TX,90.0,55.80392156862745,48003
Androscoggin,ME,90.16666666666667,73.58169934640523,23001
Angelina,TX,114.92628992628993,59.958230958230956,48005
Anne,MD,114.97908496732026,86.23006535947712,24003
Anoka,MN,88.93382352941177,64.4828431372549,27003
Anson,NC,80.5,67.8529411764706,37007
Antelope,NE,70.0,34.80392156862745,31003
Antrim,MI,133.0,105.52941176470588,26009
Apache,AZ,80.0,58.3125,4001
Appanoose,IA,48.33108108108108,33.682432432432435,19007
