county,state,cases,univ_dummy,state_code,countyFIPS
Abbeville,South Carolina,0.0,1,SC,45001
Ada,Idaho,400.0,1,ID,16001
Adair,Kentucky,40.0,1,KY,21001
Adair,Missouri,96.0,1,MO,29001
Adams,Colorado,53.0,1,CO,8001
Adams,Illinois,89.0,1,IL,17001
Adams,Nebraska,26.0,1,NE,31001
Adams,Pennsylvania,87.0,1,PA,42001
Addison,Vermont,4.0,1,VT,50001
Aiken,South Carolina,18.0,1,SC,45003
Alachua,Florida,2934.0,1,FL,12001
Alamance,North Carolina,239.0,1,NC,37001
Alameda,California,242.0,1,CA,6001
Alamosa,Colorado,5.0,1,CO,8003
Albany,New York,196.0,1,NY,36001
Albany,Wyoming,456.0,1,WY,56001
Allegany,Maryland,60.0,1,MD,24001
Allegany,New York,18.0,1,NY,36003
Allegheny,Pennsylvania,442.0,1,PA,42003
Allen,Indiana,62.0,1,IN,18003
Allen,Kansas,16.0,1,KS,20001
Allen,Ohio,0.0,1,OH,39003
Alpena,Michigan,3.0,1,MI,26007
Amherst,Virginia,9.0,1,VA,51009
Anderson,South Carolina,38.0,1,SC,45007
Androscoggin,Maine,4.0,1,ME,23001
Apache,Arizona,0.0,1,AZ,4001
Arapahoe,Colorado,5.0,1,CO,8005
Arlington,Virginia,12.0,1,VA,51013
Aroostook,Maine,1.0,1,ME,23003
Ashland,Ohio,44.0,1,OH,39005
Ashland,Wisconsin,0.0,1,WI,55003
Ashtabula,Ohio,0.0,1,OH,39007
Atchison,Kansas,98.0,1,KS,20005
Athens,Ohio,173.0,1,OH,39009
Atlantic,New Jersey,87.0,1,NJ,34001
Avery,North Carolina,15.0,1,NC,37011
Baldwin,Georgia,725.0,1,GA,13009
Baltimore,Maryland,573.0,1,MD,24005
Baltimore,Maryland,573.0,1,MD,24510
Bannock,Idaho,148.0,1,ID,16005
Barbour,West Virginia,27.0,1,WV,54001
Barnes,North Dakota,34.0,1,ND,38003
Barnstable,Massachusetts,1.0,1,MA,25001
Bartholomew,Indiana,0.0,1,IN,18005
Bay,Florida,39.0,1,FL,12005
Bay,Michigan,82.0,1,MI,26017
Beaufort,South Carolina,46.0,1,SC,45013
Beaver,Pennsylvania,7.0,1,PA,42007
Beaverhead,Montana,0.0,1,MT,30001
Bedford,Tennessee,2.0,1,TN,47003
Bell,Texas,130.0,1,TX,48027
Belmont,Ohio,0.0,1,OH,39013
Beltrami,Minnesota,82.0,1,MN,27007
Bennington,Vermont,3.0,1,VT,50003
Benton,Arkansas,34.0,1,AR,5007
Benton,Oregon,99.0,1,OR,41003
Bergen,New Jersey,22.0,1,NJ,34003
Berks,Pennsylvania,341.0,1,PA,42011
Berkshire,Massachusetts,8.0,1,MA,25003
Bernalillo,New Mexico,49.0,1,NM,35001
Berrien,Michigan,10.0,1,MI,26021
Bexar,Texas,378.0,1,TX,48029
Bibb,Georgia,444.0,1,GA,13021
Blair,Pennsylvania,126.0,1,PA,42013
Blount,Tennessee,0.0,1,TN,47009
Bolivar,Mississippi,124.0,1,MS,28011
Bond,Illinois,20.0,1,IL,17005
Boone,Kentucky,6.0,1,KY,21015
Boone,Missouri,1793.0,1,MO,29019
Bottineau,North Dakota,13.0,1,ND,38009
Boulder,Colorado,1799.0,1,CO,8013
Bowie,Texas,24.0,1,TX,48037
Boyd,Kentucky,4.0,1,KY,21019
Boyle,Kentucky,21.0,1,KY,21021
Bradley,Tennessee,41.0,1,TN,47011
Brazoria,Texas,1.0,1,TX,48039
Brazos,Texas,1661.0,1,TX,48041
Bremer,Iowa,69.0,1,IA,19017
Brevard,Florida,38.0,1,FL,12009
Brewster,Texas,82.0,1,TX,48043
Bristol,Massachusetts,23.0,1,MA,25005
Bristol,Rhode Island,21.0,1,RI,44001
Brooke,West Virginia,3.0,1,WV,54009
Brookings,South Dakota,91.0,1,SD,46011
Broome,New York,145.0,1,NY,36007
Broward,Florida,50.0,1,FL,12011
Brown,Minnesota,10.0,1,MN,27015
Brown,South Dakota,45.0,1,SD,46013
Brown,Texas,0.0,1,TX,48049
Brown,Wisconsin,253.0,1,WI,55009
Bryan,Oklahoma,68.0,1,OK,40013
Buchanan,Missouri,24.0,1,MO,29021
Bucks,Pennsylvania,16.0,1,PA,42017
Buffalo,Nebraska,119.0,1,NE,31019
Bulloch,Georgia,1178.0,1,GA,13031
Buncombe,North Carolina,24.0,1,NC,37021
Burleigh,North Dakota,91.0,1,ND,38015
Butler,Kansas,73.0,1,KS,20015
Butler,Ohio,1805.0,1,OH,39017
Butler,Pennsylvania,128.0,1,PA,42019
Butte,California,195.0,1,CA,6007
Cabell,West Virginia,97.0,1,WV,54011
Cache,Utah,638.0,1,UT,49005
Caddo,Louisiana,56.0,1,LA,22017
Calcasieu,Louisiana,0.0,1,LA,22019
Caledonia,Vermont,0.0,1,VT,50005
Calhoun,Alabama,219.0,1,AL,1015
Calhoun,Michigan,14.0,1,MI,26025
Callaway,Missouri,99.0,1,MO,29027
Calloway,Kentucky,181.0,1,KY,21035
Cambria,Pennsylvania,14.0,1,PA,42021
Campbell,Kentucky,8.0,1,KY,21037
Campbell,Tennessee,4.0,1,TN,47013
Campbell,Virginia,507.0,1,VA,51031
Canyon,Idaho,41.0,1,ID,16027
Carroll,Georgia,178.0,1,GA,13045
Carroll,Maryland,15.0,1,MD,24013
Carroll,Tennessee,90.0,1,TN,47017
Carter,Tennessee,24.0,1,TN,47019
Cass,North Dakota,306.0,1,ND,38017
Catawba,North Carolina,14.0,1,NC,37035
Cattaraugus,New York,7.0,1,NY,36009
Cayuga,New York,0.0,1,NY,36011
Centre,Pennsylvania,2682.0,1,PA,42027
Champaign,Illinois,2676.0,1,IL,17019
Charleston,South Carolina,807.0,1,SC,45019
Charlotte,Virginia,12.0,1,VA,51037
Charlottesville,Virginia,844.0,1,VA,51540
Chatham,Georgia,35.0,1,GA,13051
Chautauqua,New York,126.0,1,NY,36013
Chaves,New Mexico,3.0,1,NM,35005
Chelan,Washington,2.0,1,WA,53007
Chemung,New York,83.0,1,NY,36015
Cherokee,Oklahoma,0.0,1,OK,40021
Cherokee,South Carolina,16.0,1,SC,45021
Cheshire,New Hampshire,18.0,1,NH,33005
Chester,Pennsylvania,95.0,1,PA,42029
Chippewa,Michigan,10.0,1,MI,26033
Chittenden,Vermont,25.0,1,VT,50007
Christian,Kentucky,8.0,1,KY,21047
Claiborne,Tennessee,72.0,1,TN,47025
Clallam,Washington,0.0,1,WA,53009
Clarion,Pennsylvania,2.0,1,PA,42031
Clark,Arkansas,204.0,1,AR,5019
Clark,Nevada,258.0,1,NV,32003
Clark,Ohio,178.0,1,OH,39023
Clark,Washington,1.0,1,WA,53011
Clarke,Georgia,3888.0,1,GA,13059
Clay,Minnesota,247.0,1,MN,27027
Clay,Missouri,16.0,1,MO,29047
Clay,South Dakota,243.0,1,SD,46027
Clayton,Georgia,70.0,1,GA,13063
Clearfield,Pennsylvania,0.0,1,PA,42033
Cleveland,North Carolina,109.0,1,NC,37045
Cleveland,Oklahoma,515.0,1,OK,40027
Clinton,Illinois,39.0,1,IL,17027
Clinton,New York,4.0,1,NY,36019
Clinton,Ohio,4.0,1,OH,39027
Clinton,Pennsylvania,61.0,1,PA,42035
Cobb,Georgia,353.0,1,GA,13067
Coconino,Arizona,188.0,1,AZ,4005
Coffee,Alabama,27.0,1,AL,1031
Coffee,Georgia,31.0,1,GA,13069
Cole,Missouri,5.0,1,MO,29051
Coles,Illinois,342.0,1,IL,17029
Collin,Texas,6.0,1,TX,48085
Columbia,Arkansas,113.0,1,AR,5027
Columbia,Florida,0.0,1,FL,12023
Columbia,New York,0.0,1,NY,36021
Columbia,Pennsylvania,362.0,1,PA,42037
Columbiana,Ohio,0.0,1,OH,39029
Comanche,Oklahoma,50.0,1,OK,40031
Conway,Arkansas,238.0,1,AR,5029
Cook,Illinois,673.0,1,IL,17031
Cortland,New York,225.0,1,NY,36023
Covington,Alabama,9.0,1,AL,1039
Cowley,Kansas,54.0,1,KS,20035
Cowlitz,Washington,1.0,1,WA,53015
Craighead,Arkansas,548.0,1,AR,5031
Crawford,Kansas,170.0,1,KS,20037
Crawford,Pennsylvania,29.0,1,PA,42039
Cumberland,Maine,28.0,1,ME,23005
Cumberland,North Carolina,147.0,1,NC,37051
Cumberland,Pennsylvania,20.0,1,PA,42041
Cumberland,Tennessee,19.0,1,TN,47035
Custer,Oklahoma,222.0,1,OK,40039
Cuyahoga,Ohio,215.0,1,OH,39035
Dakota,Minnesota,0.0,1,MN,27037
Dallas,Texas,1094.0,1,TX,48113
Dane,Wisconsin,3106.0,1,WI,55025
Danville,Virginia,42.0,1,VA,51590
Darlington,South Carolina,6.0,1,SC,45031
Dauphin,Pennsylvania,20.0,1,PA,42043
Davidson,Tennessee,448.0,1,TN,47037
Daviess,Kentucky,27.0,1,KY,21059
Dawes,Nebraska,53.0,1,NE,31045
DeKalb,Georgia,4.0,1,GA,13089
Decatur,Iowa,12.0,1,IA,19053
Defiance,Ohio,0.0,1,OH,39039
Delaware,Indiana,1027.0,1,IN,18035
Delaware,New York,5.0,1,NY,36025
Delaware,Ohio,91.0,1,OH,39041
Delaware,Pennsylvania,250.0,1,PA,42045
Denton,Texas,308.0,1,TX,48121
Denver,Colorado,287.0,1,CO,8031
Deschutes,Oregon,0.0,1,OR,41017
Dickson,Tennessee,27.0,1,TN,47043
Dodge,Nebraska,30.0,1,NE,31053
Dougherty,Georgia,63.0,1,GA,13095
Douglas,Kansas,1081.0,1,KS,20045
Douglas,Minnesota,0.0,1,MN,27041
Douglas,Nebraska,419.0,1,NE,31055
Douglas,Wisconsin,6.0,1,WI,55031
